7zip	23.01+dfsg-11
keyutils	1.6.3-3build1
kio	5.115.0-0ubuntu6
klibc-utils	2.0.13-4ubuntu0.2
kmod	31+20240202-2ubuntu7.1
kpartx	0.9.4-5ubuntu8.1
kpartx-boot	0.9.4-5ubuntu8.1
krb5-locales	1.20.1-6ubuntu2.6
kwayland-data	4:5.115.0-0ubuntu5
kwayland-integration:amd64	4:5.27.11-0ubuntu3
language-pack-en	1:24.04+20260127
language-pack-en-base	1:24.04+20260127
language-pack-gnome-en	1:24.04+20260127
language-pack-gnome-en-base	1:24.04+20260127
language-selector-common	0.225
laptop-detect	0.16
less	590-2ubuntu2.1
liba52-0.7.4:amd64	0.7.4-20build1
libaa1:amd64	1.4p5-51.1
libabsl20220623t64:amd64	20220623.1-3.1ubuntu3.2
libabw-0.1-1:amd64	0.1.3-1build4
libaccountsservice0:amd64	23.13.9-2ubuntu6
libacl1:amd64	2.3.2-1build1.1
libadwaita-1-0:amd64	1.5.0-2mint3+zara
libaio1t64:amd64	0.3.113-6build1.1
libao-common	1.2.2+20180113-1.1ubuntu4
libao4:amd64	1.2.2+20180113-1.1ubuntu4
libaom3:amd64	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.5
libappstream5:amd64	1.0.2-1build6
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.5
libargon2-1:amd64	0~20190702+dfsg-4build1
libaribb24-0t64:amd64	1.0.3-2.1build2
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.2
libasound2-plugins:amd64	1.2.7.1-1ubuntu5
libasound2t64:amd64	1.2.11-1ubuntu0.2
libaspell15:amd64	0.60.8.1-1build1
libass9:amd64	1:0.17.1-2build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatasmart4:amd64	0.19-5build3
libatk-adaptor:amd64	2.52.0-1build1
libatk-bridge2.0-0t64:amd64	2.52.0-1build1
libatk1.0-0t64:amd64	2.52.0-1build1
libatkmm-1.6-1v5:amd64	2.28.4-1build4
libatm1t64:amd64	1:2.5.1-5.1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libatopology2t64:amd64	1.2.11-1ubuntu0.2
libatspi2.0-0t64:amd64	2.52.0-1build1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3:amd64	0.8-13ubuntu6.1
libavahi-common-data:amd64	0.8-13ubuntu6.1
libavahi-common3:amd64	0.8-13ubuntu6.1
libavahi-core7:amd64	0.8-13ubuntu6.1
libavahi-glib1:amd64	0.8-13ubuntu6.1
libavahi-gobject0:amd64	0.8-13ubuntu6.1
libavc1394-0:amd64	0.5.4-5build3
libavcodec-extra60:amd64	7:6.1.1-3ubuntu5
libavcodec-extra:amd64	7:6.1.1-3ubuntu5
libavdevice60:amd64	7:6.1.1-3ubuntu5
libavfilter9:amd64	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5
libavtp0:amd64	0.2.0-1build1
libavutil58:amd64	7:6.1.1-3ubuntu5
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0:amd64	0.10.1-1build2
libayatana-indicator3-7:amd64	0.9.4-1build1
libb2-1:amd64	0.98.1-1.1build1
libbabeltrace1:amd64	1.5.11-3build3
libbinutils:amd64	2.42-4ubuntu2.10
libblas3:amd64	3.12.0-3build1.1
libblkid1:amd64	2.39.3-9ubuntu6.5
libblockdev-crypto3:amd64	3.1.1-1ubuntu0.1
libblockdev-fs3:amd64	3.1.1-1ubuntu0.1
libblockdev-loop3:amd64	3.1.1-1ubuntu0.1
libblockdev-mdraid3:amd64	3.1.1-1ubuntu0.1
libblockdev-nvme3:amd64	3.1.1-1ubuntu0.1
libblockdev-part3:amd64	3.1.1-1ubuntu0.1
libblockdev-swap3:amd64	3.1.1-1ubuntu0.1
libblockdev-utils3:amd64	3.1.1-1ubuntu0.1
libblockdev3:amd64	3.1.1-1ubuntu0.1
libbluetooth3:amd64	5.72-0ubuntu5.5
libbluray2:amd64	1:1.3.4-1build1
libboost-iostreams1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0:amd64	1.83.0-2.1ubuntu3.2
libbpf1:amd64	1:1.3.0-2build2
libbrasero-media3-1:amd64	3.12.3-2build4
libbrlapi0.8:amd64	6.6-4ubuntu5
libbrotli1:amd64	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1
libbsd0:amd64	0.12.1-1build1.1
libburn4t64:amd64	1.5.6-1.1build1
libbytesize-common	2.10-1ubuntu2
libbytesize1:amd64	2.10-1ubuntu2
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc6-dbg:amd64	2.39-0ubuntu8.7
libc6-dev:amd64	2.39-0ubuntu8.7
libc6:amd64	2.39-0ubuntu8.7
libcaca0:amd64	0.99.beta20-4ubuntu0.1
libcairo-gobject-perl	1.005-4build3
libcairo-gobject2:amd64	1.18.0-3build1
libcairo-perl	1.109-4build1
libcairo-script-interpreter2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcairomm-1.0-1v5:amd64	1.14.5-1build1
libcamel-1.2-64t64:amd64	3.52.3-0ubuntu1.2
libcanberra-gtk-module:amd64	0.30-10ubuntu10
libcanberra-gtk0:amd64	0.30-10ubuntu10
libcanberra-gtk3-0t64:amd64	0.30-10ubuntu10
libcanberra-gtk3-module:amd64	0.30-10ubuntu10
libcanberra-pulse:amd64	0.30-10ubuntu10
libcanberra0t64:amd64	0.30-10ubuntu10
libcap-ng0:amd64	0.8.4-2build2
libcap2-bin	1:2.66-5ubuntu2.2
libcap2:amd64	1:2.66-5ubuntu2.2
libcares2:amd64	1.27.0-1.0ubuntu1
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libcdparanoia0:amd64	3.10.2+debian-14build3
libcdr-0.1-1:amd64	0.1.7-1build2
libcgi-fast-perl	1:2.17-1
libcgi-pm-perl	4.63-1
libchamplain-0.12-0:amd64	0.12.21-1build3
libchamplain-gtk-0.12-0:amd64	0.12.21-1build3
libcheese-gtk25:amd64	44.1-1build4
libcheese8:amd64	44.1-1build4
libchromaprint1:amd64	1.5.1-5
libcinnamon-desktop4:amd64	6.6.2+zena
libcjson1:amd64	1.7.17-1
libclone-perl:amd64	0.46-1build3
libclucene-contribs1t64:amd64	2.3.3.4+dfsg-1.2ubuntu2
libclucene-core1t64:amd64	2.3.3.4+dfsg-1.2ubuntu2
libclutter-1.0-0:amd64	1.26.4+git2779b932+dfsg-7build3
libclutter-gst-3.0-0:amd64	3.0.27-4build1
libclutter-gtk-1.0-0:amd64	1.8.4-4build5
libcodec2-1.2:amd64	1.2.0-2build1
libcogl-pango20:amd64	1.22.8-4ubuntu4
libcogl-path20:amd64	1.22.8-4ubuntu4
libcogl20:amd64	1.22.8-4ubuntu4
libcolamd3:amd64	1:7.6.1+dfsg-1build1
libcolord2:amd64	1.4.7-1build2
libcolorhug2:amd64	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcompizconfig0:amd64	1:0.9.14.2+22.10.20220822-0ubuntu12
libconfig9:amd64	1.5-0.4build2
libcpdb2t64:amd64	2.0~b5-1.2build1
libcrack2:amd64	2.9.6-5.1build2
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:amd64	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10
libcups2t64:amd64	2.4.7-1.2ubuntu7.9
libcupsfilters2-common	2.0.0-0ubuntu7.2
libcupsfilters2t64:amd64	2.0.0-0ubuntu7.2
libcupsimage2t64:amd64	2.4.7-1.2ubuntu7.9
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.8
libcurl4t64:amd64	8.5.0-2ubuntu10.8
libcwidget4:amd64	0.5.18-6build1
libdaemon0:amd64	0.14-7.1ubuntu4
libdata-dump-perl	1.25-1
libdatrie1:amd64	0.2.13-3build1
libdav1d7:amd64	1.4.1-1build1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdbus-glib-1-2:amd64	0.112-3build2
libdbusmenu-glib4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
